student_id,degree,branch,year,specialization_track,target_role,sector,goal,cgpa,attendance,backlogs,study_hours,self_learning_hours,sleep_hours,screen_time,internal_marks,programming_score,dsa_score,sql_score,math_foundation_score,ai_tool_fluency_score,aptitude_score,communication_score,english_proficiency_score,projects_count,hackathons_count,certifications_count,internships_count,open_source_contributions,research_publications_count,cloud_deployment_score,github_activity_score,linkedin_activity_score,portfolio_website_score,interview_practice_score,resume_score,ats_score,academic_score,academic_category,employability_score,placement_probability
1,MSc,Mass Communication,2,Computer Vision,Computer Vision Engineer,Autonomous Systems/Robotics,Freelance/Remote Work,6.16,69.0,1,4.4,1.7,6.3,4.3,67.9,40.0,29.2,42.9,52.0,49.8,50.5,76.9,85.3,1,0,1,1,1,1,24.8,28.5,54.3,39.8,42.2,26.4,36.3,63.4,Average,37.1,0.4179
2,MSc,Aerospace Engineering,4,Robotics,Data Scientist,Analytics/Data Services,Entrepreneurship/Startup,5.54,79.2,2,5.0,2.0,6.2,5.9,62.8,56.2,45.5,56.5,44.5,51.5,57.4,56.3,62.7,4,0,2,0,1,0,35.9,58.2,38.0,35.2,51.6,36.9,55.2,58.1,At-Risk,39.8,0.3591
3,B.Tech/B.E.,Food Technology,2,Data Engineering,Generative AI Engineer,GenAI Startups,Job Placement,7.48,73.8,0,5.9,5.3,5.4,5.0,68.2,86.4,70.5,81.1,59.5,73.5,65.9,63.4,75.9,8,4,5,2,3,0,63.3,61.9,66.8,55.2,52.3,56.5,75.1,76.8,Good,69.1,0.97
4,M.Tech/M.E.,Computer Science,4,Data Engineering,Prompt Engineer,GenAI Startups,Job Placement,6.32,77.5,2,3.9,2.0,5.7,4.2,78.2,46.6,51.3,44.2,60.8,60.5,52.6,37.4,45.2,4,2,1,0,1,1,45.0,46.1,47.7,43.0,48.9,32.2,55.3,68.4,Average,49.5,0.722
5,MCA,Robotics,2,Computer Vision,Analytics Engineer,Government/PSU,Freelance/Remote Work,7.2,80.9,0,3.9,0.3,6.4,4.2,62.4,58.7,59.6,68.1,57.5,60.2,60.0,83.6,89.1,4,2,1,0,1,2,49.2,43.6,50.3,46.1,63.4,45.4,46.0,69.9,Average,44.4,0.1872
6,MCA,Robotics,1,Robotics,Applied Scientist,AI/ML Product Companies,Freelance/Remote Work,6.49,81.2,0,4.3,1.1,8.2,8.1,66.6,35.7,36.6,61.3,41.9,38.4,59.4,59.9,59.4,2,0,3,1,0,0,37.8,44.3,48.7,32.0,51.1,33.2,31.9,71.1,Good,38.0,0.7302
7,BS (Data Science & AI),Information Technology,3,Data Engineering,Cloud DevOps Engineer,Core Product Engineering,Government Exams,6.23,71.0,3,2.9,2.4,6.6,4.8,52.8,62.7,68.6,44.7,46.8,36.7,55.2,29.5,47.4,4,1,3,2,2,0,48.6,56.8,34.5,26.8,32.8,44.6,39.6,58.0,At-Risk,37.3,0.2562
8,MSc,Statistics,3,Data Engineering,AI Transformation Consultant,Consulting,Freelance/Remote Work,6.06,87.5,2,5.1,2.3,7.0,6.6,53.3,51.6,51.3,45.8,42.9,41.1,56.1,61.7,71.3,4,1,3,1,0,0,40.7,50.3,54.6,24.3,48.0,42.9,38.3,56.0,At-Risk,45.5,0.3896
9,MCA,Computer Science,2,Robotics,NLP Engineer,GenAI Startups,Government Exams,7.83,72.4,0,3.7,0.9,5.4,2.1,83.4,51.5,68.5,64.9,74.0,40.9,76.0,64.2,64.8,1,0,2,0,1,0,36.1,49.8,16.1,11.4,23.0,20.0,38.9,82.1,Excellent,39.3,0.5913
10,B.Tech/B.E.,Economics,2,Computer Vision,Data Analyst,Freelance/Remote-Global,Freelance/Remote Work,6.44,73.2,0,3.4,0.0,7.4,4.1,61.5,41.8,39.4,60.2,39.9,37.7,52.7,60.6,53.3,0,0,1,1,0,0,37.9,56.4,50.6,20.3,38.6,34.4,32.5,67.4,Average,38.8,0.2346
