student_id,degree,branch,year,specialization_track,target_role,sector,goal,cgpa,attendance,backlogs,study_hours,self_learning_hours,sleep_hours,screen_time,assignment_score,internal_marks,programming_score,dsa_score,sql_score,math_foundation_score,ai_tool_fluency_score,aptitude_score,communication_score,english_proficiency_score,projects_count,hackathons_count,certifications_count,internships_count,open_source_contributions,research_publications_count,cloud_deployment_score,github_activity_score,linkedin_activity_score,portfolio_website_score,interview_practice_score,resume_score,ats_score,academic_score,academic_category,employability_score,placement_probability
1,MSc,Mass Communication,2,Computer Vision,Computer Vision Engineer,Autonomous Systems/Robotics,Freelance/Remote Work,6.16,69.0,1,4.4,1.7,6.3,4.3,69.0,59.6,37.9,29.8,49.9,50.7,50.2,50.6,90.6,67.5,1,0,2,2,0,0,25.0,41.8,55.1,37.8,31.4,35.3,39.2,61.4,Average,41.4,0.4178
2,M.Tech/M.E.,Mathematics & Computing,4,Computer Vision,Data Engineer,Analytics/Data Services,Freelance/Remote Work,6.42,77.9,2,3.3,0.8,7.2,4.8,62.1,59.4,32.9,40.7,48.2,55.4,34.6,53.1,66.9,62.5,2,0,1,0,0,0,26.6,34.1,46.7,30.1,43.3,25.4,30.2,60.8,Average,29.2,0.0808
3,MSc,Economics,3,MLOps,Data Scientist,Core Product Engineering,Entrepreneurship/Startup,8.35,79.6,0,3.1,4.0,6.0,5.4,80.7,89.2,64.3,55.9,60.0,76.8,74.3,80.1,76.9,88.3,3,2,2,1,0,1,50.1,44.4,47.6,51.6,59.2,49.8,91.4,86.3,Excellent,52.9,0.2835
4,PhD,AI & Data Science,2,Robotics,Data Engineer,Analytics/Data Services,Entrepreneurship/Startup,7.98,73.0,0,3.1,1.7,5.6,4.4,83.0,66.2,63.0,45.6,60.2,64.4,48.3,64.0,47.8,65.6,3,0,1,1,3,0,42.9,51.0,58.1,36.1,38.0,42.0,56.4,81.7,Excellent,48.6,0.3654
5,PhD,Electronics & Communication,5,Generative AI,AI Transformation Consultant,Consulting,Higher Studies/Research,9.38,89.1,0,2.9,1.9,6.1,3.1,85.0,85.7,67.8,53.8,63.0,69.6,41.7,82.6,89.5,94.8,2,0,2,1,1,0,44.7,51.1,71.0,59.6,43.2,40.5,36.6,87.2,Excellent,58.6,0.7212
6,B.Tech/B.E.,Chemical Engineering,1,Classical ML,AI Ethics Specialist,Research Labs/Academia,Higher Studies/Research,6.72,98.0,0,4.5,3.9,6.9,6.9,69.7,70.8,67.0,54.6,53.7,59.0,54.7,56.8,45.2,58.6,4,3,4,2,2,1,50.4,48.3,55.6,39.1,77.7,51.7,60.7,72.2,Good,47.5,0.3393
7,MSc,Mass Communication,4,Classical ML,Prompt Engineer,GenAI Startups,Entrepreneurship/Startup,5.44,82.1,1,4.2,0.8,6.9,6.9,61.7,71.6,62.0,54.0,54.3,44.4,66.7,57.9,52.9,57.6,4,3,3,2,1,0,40.6,62.1,28.1,37.0,48.2,48.2,62.8,73.1,Good,52.2,0.5353
8,BS (Data Science & AI),Electronics & Instrumentation,4,Robotics,Data Analyst,Analytics/Data Services,Freelance/Remote Work,6.64,57.9,3,1.1,1.9,6.8,3.3,73.1,66.0,74.1,54.5,67.7,64.9,61.2,59.5,55.5,53.5,3,1,2,2,0,1,63.7,48.2,34.2,36.2,48.7,42.7,73.4,60.9,Average,49.5,0.5199
9,M.Tech/M.E.,Design,3,Generative AI,Generative AI Engineer,GenAI Startups,Career Switch/Upskilling,5.36,54.6,3,2.6,1.1,6.5,5.9,58.2,58.5,37.8,39.8,40.9,48.7,29.5,46.7,27.1,23.6,0,0,0,0,0,0,28.7,39.0,38.5,5.8,39.2,20.3,22.7,44.8,At-Risk,17.6,0.1466
10,B.Tech/B.E.,Textile Engineering,4,Classical ML,Data Scientist,AI/ML Product Companies,Career Switch/Upskilling,6.41,84.9,2,5.9,2.7,5.4,6.1,68.8,74.6,71.9,58.0,67.0,57.7,68.4,57.3,85.0,85.7,3,2,2,1,1,0,30.3,47.0,48.3,44.2,68.6,46.8,47.5,69.2,Average,49.3,0.7116
