degree,branch,year,cgpa,attendance,study_hours,self_learning_hours,sleep_hours,screen_time,assignment_score,internal_marks,backlogs,projects_count,hackathons_count,certifications_count,github_activity_score,linkedin_activity_score,programming_score,sql_score,dsa_score,communication_score,aptitude_score,internships_count,resume_score,ats_score,goal,target_role,academic_score,academic_category,employability_score,placement_probability
BCA,General,2,9.57,55,5,1,8,6,83,75,3,1,1,4,6,58,61,61,38,40,30,1,43,75,Government Exam,Data Analyst,91.5,Excellent,47.1,44.7
Law,Criminal,2,7.67,49,8,3,8,10,97,75,0,1,4,3,63,51,74,50,52,87,93,0,99,59,Placement,Data Analyst,100.0,Excellent,55.8,53.0
B.Com,General,2,9.31,82,1,1,8,2,64,77,2,3,3,5,1,46,31,25,80,49,44,1,91,83,Higher Studies,Data Analyst,97.2,Excellent,56.2,53.4
Law,Criminal,3,7.04,65,4,0,4,8,73,75,3,6,1,8,6,85,84,38,49,95,98,1,48,52,Higher Studies,ML Engineer,71.3,Good,71.1,67.5
Law,Criminal,3,7.13,68,2,1,4,8,54,94,3,5,3,4,27,48,88,57,81,60,51,0,64,83,Entrepreneurship,Data Analyst,70.1,Good,65.9,62.6
BBA,Marketing,2,7.3,44,1,1,7,7,81,51,2,5,1,4,91,55,62,98,32,34,49,1,62,84,Entrepreneurship,ML Engineer,71.4,Good,70.1,66.6
B.Com,General,3,7.85,50,3,4,8,5,58,84,1,3,0,2,80,89,43,52,37,79,97,0,43,86,Entrepreneurship,Business Analyst,98.1,Excellent,53.4,50.7
B.Com,General,3,7.88,68,8,1,6,10,54,81,3,4,0,6,29,30,97,72,21,38,74,2,96,60,Placement,Data Analyst,82.7,Good,76.4,72.6
B.Com,Hons,4,7.63,84,3,3,7,4,54,79,3,5,1,4,84,58,95,49,22,70,69,0,44,86,Entrepreneurship,Software Engineer,84.7,Good,63.3,60.1
Law,Criminal,4,6.82,54,1,1,8,2,90,95,1,4,3,1,100,69,88,94,25,39,75,0,65,62,Higher Studies,Software Engineer,92.5,Excellent,62.4,59.3
BCA,General,2,9.49,45,2,2,6,3,90,69,0,1,4,8,72,75,44,84,47,82,92,2,66,85,Placement,Business Analyst,100.0,Excellent,69.5,66.0
B.Com,General,3,8.03,87,7,1,8,4,83,62,2,2,0,4,35,42,60,33,96,78,41,1,43,42,Higher Studies,Data Analyst,96.3,Excellent,54.8,52.1
Law,Corporate,4,7.25,54,3,2,5,3,56,76,1,0,3,6,21,90,58,29,51,55,81,1,60,61,Placement,Business Analyst,87.5,Excellent,47.1,44.7
BBA,Finance,1,8.3,82,6,5,6,7,75,72,0,2,4,6,78,80,76,36,79,96,36,1,64,68,Higher Studies,Software Engineer,100.0,Excellent,63.8,60.6
BCA,General,3,8.8,59,2,1,5,8,50,65,2,4,3,9,77,73,86,94,50,65,84,0,50,79,Government Exam,Software Engineer,84.1,Good,66.3,63.0
BBA,HR,1,9.63,73,5,5,4,6,83,80,0,7,1,7,26,4,87,34,80,52,34,2,70,69,Government Exam,ML Engineer,100.0,Excellent,82.9,78.8
BCA,General,2,7.65,99,4,1,7,6,75,61,3,7,0,3,81,3,60,95,28,68,76,2,99,63,Government Exam,ML Engineer,82.6,Good,88.6,84.2
Law,Corporate,3,5.98,99,7,3,8,8,81,82,2,5,0,6,9,14,82,22,86,88,67,1,56,64,Government Exam,Business Analyst,89.2,Excellent,69.6,66.1
B.Tech,ECE,2,7.4,41,7,2,7,7,61,87,0,2,0,2,21,1,93,41,73,52,72,1,46,51,Government Exam,Software Engineer,100.0,Excellent,58.6,55.7
BCA,General,2,7.56,83,1,5,8,9,55,94,2,4,1,8,22,48,31,75,98,52,99,1,80,89,Higher Studies,Data Analyst,85.0,Good,70.0,66.5
BBA,HR,2,9.36,55,4,5,5,10,69,81,0,6,4,7,51,55,89,78,87,72,37,2,66,59,Entrepreneurship,Data Analyst,100.0,Excellent,86.9,82.6
Law,Criminal,2,7.2,58,5,2,6,3,68,51,0,2,4,9,41,7,77,45,36,54,79,1,88,72,Government Exam,ML Engineer,100.0,Excellent,60.8,57.8
BCA,General,2,9.6,73,3,4,6,3,65,99,3,1,5,8,40,15,77,69,78,89,38,2,90,78,Higher Studies,Software Engineer,100.0,Excellent,73.4,69.7
B.Tech,ECE,3,7.59,88,7,1,8,2,53,98,1,7,5,1,47,63,90,99,50,62,42,0,52,61,Higher Studies,ML Engineer,100.0,Excellent,70.5,67.0
B.Tech,IT,1,9.69,53,6,1,5,8,81,72,2,4,0,3,68,83,33,80,94,62,79,1,94,100,Government Exam,Data Analyst,100.0,Excellent,74.9,71.2
B.Com,General,3,5.54,63,2,3,8,5,67,81,3,1,5,0,50,23,55,74,80,94,64,0,70,85,Government Exam,ML Engineer,62.7,Average,56.0,53.2
B.Com,Hons,3,9.36,67,8,4,8,10,54,64,2,2,4,7,88,98,51,83,59,76,54,2,43,58,Placement,Software Engineer,100.0,Excellent,67.7,64.3
BBA,Finance,3,9.5,87,7,4,8,7,99,89,1,3,5,3,0,54,72,22,22,62,90,0,48,71,Placement,Data Analyst,100.0,Excellent,46.5,44.2
BCA,General,4,9.63,71,7,3,6,8,55,90,3,3,5,3,87,53,49,49,69,67,60,0,97,92,Entrepreneurship,Software Engineer,100.0,Excellent,60.4,57.4
BCA,General,4,5.56,76,2,5,8,8,63,89,1,0,0,6,96,80,77,77,20,53,78,1,82,90,Government Exam,Data Analyst,72.1,Good,60.2,57.2
B.Com,Hons,3,6.24,49,5,2,6,9,98,57,3,7,4,5,55,68,90,32,27,78,72,1,84,65,Entrepreneurship,Software Engineer,79.1,Good,76.6,72.8
