degree,year,goal,study_hours,self_learning_hours,screen_time,sleep_hours,cgpa,assignment_score,internal_marks,backlogs,projects_count,hackathons_count,internships_count,github_activity_score,programming_score,sql_score,communication_score,resume_score,ats_score,academic_score,academic_category,employability_score
B.Tech,2,Placement,7.0,1.1,5.2,7.4,8.1,99,87,1,4,3,0,83,64,80,58,69,63,82.8,Good,60.6
Law,2,Placement,4.5,3.7,4.1,8.1,7.93,100,73,0,5,2,0,90,73,75,62,57,46,90.2,Excellent,65.1
BBA,4,Placement,3.3,4.0,3.9,7.5,6.84,87,80,1,5,5,1,86,79,71,51,85,91,70.6,Average,73.8
BCA,2,Higher Studies,4.7,2.6,6.5,4.5,7.32,88,79,0,5,2,0,100,70,58,60,68,57,81.4,Good,64.8
B.Tech,4,Placement,3.7,4.9,10.6,5.9,8.81,94,66,0,8,7,2,100,99,65,64,87,87,96.8,Excellent,95.1
B.Tech,1,Entrepreneurship,3.6,3.5,7.1,7.0,7.54,85,83,1,5,2,0,100,90,63,49,65,63,72.9,Average,68.7
B.Tech,3,Placement,5.1,3.3,2.8,6.8,7.61,84,93,0,6,3,1,92,84,65,63,67,69,92.1,Excellent,76.4
B.Com,4,Higher Studies,2.1,1.5,4.5,6.7,7.22,84,83,0,6,5,1,98,77,44,71,80,70,74.6,Average,76.0
BCA,1,Government Exam,2.3,3.3,4.8,6.0,9.54,100,98,0,4,2,0,59,84,66,41,66,62,93.1,Excellent,59.8
BBA,2,Government Exam,4.5,2.8,4.4,5.6,7.62,79,85,0,7,4,1,75,88,69,57,80,83,89.7,Good,80.4
B.Tech,1,Entrepreneurship,4.5,3.1,5.2,9.0,6.82,85,78,0,4,2,0,40,75,86,95,51,52,77.0,Good,61.0
Law,3,Government Exam,5.0,1.7,6.7,7.0,7.06,91,77,0,3,1,0,54,62,49,62,56,53,74.2,Average,49.9
B.Com,2,Entrepreneurship,7.3,2.7,7.4,7.6,8.7,91,79,0,5,3,0,76,72,47,78,54,54,99.5,Excellent,61.5
B.Tech,3,Placement,4.7,1.5,8.2,7.0,6.31,84,87,3,4,4,1,50,69,79,64,52,61,43.3,At Risk,61.8
B.Tech,1,Higher Studies,5.4,0.0,7.0,7.0,8.12,78,93,0,2,1,0,39,63,42,61,50,55,78.1,Good,43.7
B.Tech,1,Placement,3.0,3.7,2.1,6.9,6.7,94,79,0,6,4,0,98,74,86,76,50,55,80.0,Good,70.4
B.Tech,1,Placement,5.7,0.7,3.9,5.9,6.07,89,63,0,2,1,0,63,49,82,79,44,47,67.1,Average,47.5
BCA,2,Placement,3.7,2.6,5.7,5.5,6.57,82,85,0,3,2,0,45,58,73,54,54,55,69.3,Average,49.3
B.Tech,3,Placement,4.6,2.9,6.3,7.4,7.62,81,78,0,5,4,2,85,70,42,51,88,85,84.3,Good,73.9
B.Tech,4,Placement,4.3,2.9,7.7,7.2,8.81,100,91,0,8,5,1,100,100,62,48,74,75,97.5,Excellent,86.4
BCA,3,Placement,6.0,2.2,6.1,7.9,8.63,83,77,0,7,5,2,100,82,64,54,75,85,99.4,Excellent,84.8
B.Tech,2,Placement,2.5,2.8,6.1,7.7,7.02,77,83,1,4,3,0,56,77,69,78,62,66,63.3,Average,61.1
B.Tech,4,Entrepreneurship,1.1,3.1,6.5,6.2,7.94,89,85,2,6,3,1,93,76,73,65,73,71,62.4,Average,76.5
B.Tech,3,Placement,4.2,3.4,5.5,8.1,7.21,98,64,0,5,4,0,82,73,53,79,60,50,81.5,Good,64.0
BCA,4,Government Exam,5.2,4.6,6.2,7.8,6.36,86,93,3,7,7,3,100,85,80,52,80,83,59.5,Average,92.7
BBA,2,Placement,4.7,2.8,8.3,7.7,7.63,82,82,1,5,4,0,80,87,72,52,68,73,74.5,Average,67.9
B.Tech,2,Entrepreneurship,6.3,2.6,5.8,9.0,6.5,69,78,1,5,1,1,87,81,72,60,51,48,72.3,Average,70.1
BCA,1,Entrepreneurship,5.2,1.4,5.9,9.0,8.39,92,92,1,0,0,0,35,37,61,68,41,40,71.4,Average,32.1
BCA,3,Higher Studies,3.7,3.0,5.9,7.7,8.17,92,87,1,6,3,1,76,91,70,63,81,72,80.5,Good,79.1
B.Tech,1,Higher Studies,1.0,3.3,8.6,7.6,6.26,80,82,3,5,2,0,60,76,32,73,60,67,37.1,At Risk,59.8
BCA,2,Placement,4.1,2.3,3.8,8.1,7.65,100,76,0,4,3,0,77,72,70,69,54,51,82.4,Good,60.1
B.Tech,2,Entrepreneurship,6.0,3.2,9.6,6.4,7.93,88,85,0,6,3,0,89,82,89,70,55,57,90.3,Excellent,72.1
B.Tech,3,Entrepreneurship,3.9,2.1,3.6,6.4,8.27,73,72,1,5,5,0,92,62,76,73,55,49,80.6,Good,63.1
Law,3,Entrepreneurship,4.5,3.3,4.7,7.7,6.46,79,78,1,6,1,0,100,76,74,78,81,74,71.2,Average,74.7
Law,1,Higher Studies,5.1,3.6,7.5,6.1,8.21,94,99,0,4,2,0,40,85,76,35,51,59,88.8,Good,56.3
B.Com,2,Placement,3.0,3.6,8.1,7.6,6.16,83,67,2,6,4,1,79,91,83,64,75,73,53.3,At Risk,80.0
B.Tech,3,Entrepreneurship,5.4,2.6,3.2,7.2,8.41,90,85,0,6,3,0,90,72,62,75,57,53,97.7,Excellent,67.4
B.Tech,4,Placement,7.0,1.3,3.8,6.1,8.9,91,73,0,4,2,1,52,66,79,95,61,76,98.8,Excellent,65.6
BBA,3,Higher Studies,4.2,1.8,6.6,7.0,6.93,68,82,1,5,4,0,72,70,71,63,46,51,67.2,Average,60.5
B.Tech,4,Placement,2.8,3.2,10.7,8.3,8.42,92,92,0,7,7,2,84,96,65,38,83,79,85.5,Good,86.7
B.Tech,3,Entrepreneurship,4.4,5.4,8.5,7.1,6.14,78,82,1,8,7,1,100,100,85,82,77,80,72.7,Average,92.3
BCA,3,Placement,1.2,2.1,5.5,7.1,8.06,92,82,0,6,4,0,77,72,54,50,74,66,78.7,Good,65.5
B.Tech,1,Placement,5.0,3.0,2.0,7.3,8.95,98,73,0,4,3,0,73,78,55,70,49,47,98.7,Excellent,58.8
Law,3,Higher Studies,5.2,1.8,6.2,7.5,7.99,99,77,0,5,3,1,93,81,29,71,64,60,86.9,Good,69.6
B.Tech,3,Government Exam,7.0,1.3,6.7,6.7,7.78,81,96,0,4,4,0,74,68,51,66,63,65,87.2,Good,57.8
BBA,3,Higher Studies,4.2,1.7,5.2,7.4,7.81,78,93,1,3,2,0,94,66,58,39,51,60,71.3,Average,52.6
B.Tech,2,Placement,5.1,0.0,4.3,6.0,7.12,81,82,0,1,0,0,46,35,64,60,42,40,70.0,Average,35.4
BCA,2,Placement,3.2,4.1,6.3,6.2,9.74,92,95,0,5,5,0,93,71,71,46,58,67,99.5,Excellent,62.8
BCA,2,Government Exam,4.0,0.0,4.1,6.3,6.97,78,74,3,1,3,0,30,34,78,70,40,43,41.5,At Risk,35.5
