degree,branch,year,cgpa,attendance,study_hours,self_learning_hours,sleep_hours,screen_time,assignment_score,internal_marks,backlogs,projects_count,hackathons_count,certifications_count,github_activity_score,linkedin_activity_score,programming_score,sql_score,dsa_score,communication_score,aptitude_score,internships_count,resume_score,ats_score,goal,target_role,academic_score,academic_category,employability_score,placement_probability,sector
B.Tech,CSE,4,9.21,78,5.9,2.6,8.2,5.6,98,100,0,4,3,5,48,69,67,69,64,73,73,1,78,81,Freelancing,Frontend Developer,87.8,Good,77.5,79.8,Tech
B.Com,General,2,6.94,59,3.6,2.1,7.1,4.3,82,85,2,3,3,6,67,90,67,56,59,62,68,2,86,83,Placement,Product Manager,51.4,At Risk,67.2,54.7,Commerce
B.Tech,CSE,4,8.69,65,4.9,2.3,7.6,6.3,95,100,0,4,2,3,70,50,70,58,54,64,72,1,79,83,Placement,Software Engineer,83.2,Good,70.6,67.2,Tech
B.Tech,AI&DS,1,7.68,73,5.6,2.5,5.8,4.1,99,94,1,4,1,5,59,59,55,68,43,59,67,1,74,74,Government Job,QA Engineer,68.0,Average,53.3,65.3,Tech
B.Tech,ECE,4,7.88,82,4.3,2.6,7.3,4.5,92,91,0,4,1,5,54,54,74,49,75,61,64,0,58,67,Government Job,Cloud Engineer,74.2,Average,61.6,36.6,Tech
BCA,General,4,7.3,77,4.3,2.1,8.1,4.4,87,83,0,2,0,3,48,26,42,56,32,52,52,1,46,59,Government Job,DevOps Engineer,65.7,Average,43.7,30.7,Tech
BBA,Finance,3,7.56,79,5.2,3.5,6.5,6.8,99,96,0,4,1,3,64,78,63,46,46,84,71,1,64,97,Government Job,Business Analyst,77.8,Good,72.0,53.9,Management
Law,Criminal,1,6.92,69,4.7,1.5,8.3,4.3,86,85,1,4,1,5,62,37,84,66,46,46,44,0,43,76,Research,Cybersecurity Analyst,57.0,Average,53.5,41.4,Law
Law,Corporate,4,6.73,64,4.4,1.3,7.5,5.9,80,79,1,3,2,1,47,46,51,51,35,69,64,0,57,62,Placement,Cybersecurity Analyst,53.8,At Risk,42.1,43.3,Law
B.Tech,CSE,4,6.84,69,5.2,1.6,7.0,6.9,86,84,0,2,1,3,46,58,48,44,52,66,61,1,56,55,Higher Studies,UI/UX Designer,58.2,Average,46.6,41.6,Tech
BCA,General,1,8.65,87,6.3,3.1,8.8,4.2,97,100,0,5,3,6,84,69,76,50,51,78,79,1,78,80,Placement,Software Engineer,89.9,Good,76.4,58.9,Tech
B.Tech,AI&DS,4,7.02,73,4.0,2.6,6.2,6.4,90,90,1,2,4,2,59,47,77,82,57,59,72,0,66,68,Placement,Business Analyst,60.5,Average,58.3,43.8,Tech
B.Tech,IT,1,7.88,79,2.7,4.8,6.8,4.6,86,92,1,8,8,7,89,42,75,76,92,70,58,3,100,80,Research,Data Scientist,69.2,Average,98.0,71.5,Tech
BCA,General,1,7.71,79,6.2,2.9,7.1,3.5,83,85,1,3,0,3,54,52,49,65,35,73,80,1,68,72,Higher Studies,Business Analyst,65.2,Average,54.8,58.9,Tech
BCA,General,1,8.23,80,6.2,4.8,6.3,7.5,98,97,1,6,4,7,96,65,81,60,66,64,74,1,80,83,Government Job,Cybersecurity Analyst,75.7,Good,80.6,63.1,Tech
BBA,Finance,3,6.53,57,2.0,1.8,8.1,7.5,80,78,1,6,3,2,50,58,79,61,54,58,41,2,61,65,Placement,UI/UX Designer,48.7,At Risk,64.2,44.9,Management
B.Tech,ECE,2,8.55,78,6.2,2.1,5.5,5.6,95,86,3,7,4,4,66,78,93,74,62,67,68,0,78,96,Placement,Data Analyst,63.6,Average,73.1,52.3,Tech
B.Com,General,1,8.25,85,5.2,3.5,7.5,5.4,95,93,0,4,2,8,65,68,66,50,73,49,70,1,78,84,Freelancing,Data Analyst,79.9,Good,72.7,52.8,Commerce
B.Tech,IT,2,8.09,76,5.0,3.3,7.4,5.5,94,82,1,5,7,6,100,63,72,57,70,53,57,0,75,92,Higher Studies,Data Engineer,68.5,Average,73.1,48.5,Tech
