student_id,degree,branch,year,specialization_track,target_role,sector,goal,cgpa,attendance,backlogs,study_hours,self_learning_hours,sleep_hours,screen_time,internal_marks,programming_score,dsa_score,sql_score,math_foundation_score,ai_tool_fluency_score,aptitude_score,communication_score,english_proficiency_score,projects_count,hackathons_count,certifications_count,internships_count,open_source_contributions,research_publications_count,cloud_deployment_score,github_activity_score,linkedin_activity_score,portfolio_website_score,interview_practice_score,resume_score,ats_score,academic_score,academic_category,employability_score,placement_probability
1,MSc,Mass Communication,2,Computer Vision,Computer Vision Engineer,Autonomous Systems/Robotics,Freelance/Remote Work,6.01,63.2,1,3.5,1.9,6.2,4.5,65.9,66.0,54.2,58.8,53.6,58.9,56.2,58.9,74.1,2,0,0,1,3,1,38.7,45.9,44.1,39.1,41.0,33.4,53.2,60.7,Average,43.7,0.5663
2,MSc,Aerospace Engineering,4,Robotics,Data Scientist,Analytics/Data Services,Entrepreneurship/Startup,5.57,81.5,2,5.5,2.7,6.2,5.8,63.2,55.1,42.5,54.7,42.7,53.8,56.7,53.9,61.2,4,1,3,1,1,0,37.3,59.1,42.1,37.9,56.0,41.0,55.3,58.9,At-Risk,41.5,0.3967
3,B.Tech/B.E.,Food Technology,2,Data Engineering,Generative AI Engineer,GenAI Startups,Job Placement,7.47,71.5,0,5.2,3.6,5.4,5.1,68.2,69.2,58.4,72.8,58.5,57.2,63.1,97.3,97.0,6,3,4,1,1,0,49.6,46.4,69.1,54.6,42.0,45.1,63.0,76.1,Good,61.8,0.97
4,M.Tech/M.E.,Computer Science,4,Data Engineering,Prompt Engineer,GenAI Startups,Job Placement,6.1,67.3,2,1.9,0.1,5.5,4.4,75.3,50.6,60.7,48.9,55.0,43.3,54.8,82.5,73.3,2,0,0,0,1,1,41.7,44.1,46.4,48.7,33.9,29.5,58.3,64.0,Average,52.5,0.7737
5,MCA,Robotics,2,Computer Vision,Analytics Engineer,Government/PSU,Freelance/Remote Work,7.16,83.0,0,4.7,2.6,6.3,4.2,61.8,82.2,76.1,79.1,54.8,78.8,63.7,50.7,68.7,7,4,2,1,4,1,68.1,64.8,51.0,51.7,76.8,60.2,62.3,70.1,Average,53.3,0.3387
6,MCA,Robotics,1,Classical ML,Applied Scientist,AI/ML Product Companies,Freelance/Remote Work,6.37,72.8,0,2.4,0.0,8.1,8.2,64.9,42.8,49.5,69.2,47.1,31.8,62.4,67.7,64.3,0,0,1,0,0,1,35.5,43.9,35.4,24.7,37.0,26.7,35.7,67.9,Average,37.0,0.7118
7,BS (Data Science & AI),Information Technology,3,Data Engineering,Cloud DevOps Engineer,Core Product Engineering,Government Exams,6.34,74.1,3,3.3,1.6,6.7,4.7,54.3,40.2,48.7,31.8,47.1,26.3,50.6,48.2,59.1,3,1,3,1,0,0,34.8,40.2,40.1,25.1,29.8,34.3,24.0,59.8,Average,30.4,0.1559
8,MSc,Statistics,3,Data Engineering,AI Transformation Consultant,Consulting,Freelance/Remote Work,6.23,92.1,1,3.0,2.0,6.8,5.0,77.6,24.9,27.6,55.7,27.6,52.9,49.3,54.4,50.0,3,2,3,1,0,0,31.5,34.3,44.2,33.1,39.4,31.6,52.3,68.1,Average,36.4,0.1611
9,MSc,Physics,3,NLP,Conversational AI Engineer,AI/ML Product Companies,Entrepreneurship/Startup,6.29,63.2,1,4.1,3.1,5.2,2.4,67.5,59.0,60.8,63.0,53.0,56.7,62.3,40.4,45.3,3,1,3,1,2,0,46.3,60.2,22.4,16.5,29.5,28.5,41.5,65.6,Average,40.3,0.4777
10,B.Tech/B.E.,Economics,4,Computer Vision,Data Analyst,Freelance/Remote-Global,Freelance/Remote Work,6.35,72.3,0,3.5,0.0,7.3,4.2,60.4,56.3,50.3,67.0,34.7,43.9,55.2,56.6,50.8,1,1,1,2,2,0,48.8,68.9,53.7,27.8,44.2,43.2,42.6,66.4,Average,44.7,0.3435
11,M.Tech/M.E.,Electronics & Communication,3,Robotics,Conversational AI Engineer,GenAI Startups,Freelance/Remote Work,6.84,80.4,1,6.2,2.7,7.5,5.3,72.5,54.9,50.0,47.4,63.2,43.5,65.8,100.0,91.0,2,2,2,2,0,0,22.6,33.4,68.0,55.2,34.9,33.5,9.2,67.4,Average,53.2,0.7952
12,B.Tech/B.E.,Mathematics & Computing,2,Computer Vision,Analytics Engineer,Freelance/Remote-Global,Freelance/Remote Work,7.03,91.6,0,6.0,1.9,7.8,4.9,75.9,72.8,53.5,52.8,51.8,50.9,49.3,84.3,73.7,4,0,1,0,0,0,42.8,47.4,47.5,42.5,39.4,39.1,60.4,79.2,Good,49.7,0.4983
13,M.Tech/M.E.,Mathematics & Computing,1,NLP,Data Analyst,Research Labs/Academia,Higher Studies/Research,5.55,67.6,4,2.6,0.0,6.5,3.5,61.9,47.3,27.2,48.1,12.3,18.4,38.6,45.6,61.2,2,0,0,0,1,0,29.4,46.0,19.5,4.4,22.8,17.9,42.6,51.7,At-Risk,15.2,0.0398
14,B.Tech/B.E.,Civil Engineering,2,NLP,Data Analyst,Consulting,Government Exams,7.74,81.2,0,5.5,1.9,7.9,4.1,81.2,58.4,50.1,62.5,57.9,42.4,77.0,57.4,54.0,5,4,2,0,0,0,41.1,37.5,52.5,41.4,39.3,39.1,75.4,80.3,Good,47.7,0.3623
15,B.Tech/B.E.,Information Technology,2,Computer Vision,AI Research Scientist,Research Labs/Academia,Entrepreneurship/Startup,5.51,68.1,3,1.9,4.3,5.8,2.4,65.4,59.3,39.9,39.1,52.8,57.1,74.1,63.8,66.8,4,3,3,3,0,0,42.4,58.4,67.8,37.0,38.9,46.8,43.4,58.7,At-Risk,32.2,0.0657
16,B.Tech/B.E.,Information Technology,2,MLOps,Data Engineer,Analytics/Data Services,Higher Studies/Research,7.43,71.6,0,3.8,1.8,6.2,5.2,65.1,43.0,61.8,48.0,64.6,53.8,77.6,65.7,72.7,2,3,2,2,0,1,48.2,48.5,59.8,42.3,40.9,40.6,56.6,74.9,Good,43.5,0.1643
17,MCA,Computer Science,4,Data Engineering,AI Solutions Architect,Autonomous Systems/Robotics,Entrepreneurship/Startup,8.07,88.1,1,4.7,1.0,7.6,5.6,78.4,35.6,35.7,29.2,53.2,19.8,46.2,75.2,78.8,2,0,3,0,0,0,28.2,26.4,28.3,19.6,35.9,29.0,42.7,79.4,Excellent,40.3,0.306
